subj,sel_side,cond,bout,amp_L,amp_R,mamp_L,mamp_R,asym
M5,L,PLA,4,26.485085886801986,33.72772883494242,29.9698444627396,72.39184871325773,-0.12028407875649111
S13,R,ANE,1,42.701643003796256,56.56195244565258,90.42758104547664,116.84605353704342,-0.13963134600453506
S13,R,ANE,2,37.64479519865043,42.75460469084862,60.6878232000464,80.86518584705293,-0.06355531881109878
S13,R,ANE,3,37.37533287638232,38.37137266101374,58.34729037731837,73.745890057206,-0.013149611954273801
S13,R,ANE,4,38.383251081581875,40.23808609161164,53.81239108656918,74.20933800949473,-0.02359200538581226
S13,R,PLA,1,41.061765406049645,47.147517121812356,58.53228125699745,65.69113693986073,-0.06899219153993666
S13,R,PLA,2,45.00610644568669,45.7887989095173,86.94939671924314,97.68586961011232,-0.008620444734961525
S13,R,PLA,3,41.195043040091086,48.290426241057006,93.05974452448744,98.06470497427061,-0.07929089781798379
S13,R,PLA,4,46.25825574656337,51.153319142429275,93.81284082313526,128.909596662713,-0.05025135258765833
PS10,R,ANE,1,29.019853261532294,30.504741537803366,45.52926572209373,40.595430616975214,-0.024945793940753025
PS10,R,ANE,2,19.69965462291746,26.93569790838386,26.404895285417933,25.048517316309155,-0.15516218689693542
PS10,R,ANE,3,17.96283149571052,24.482889066243125,33.62429153101247,28.72588186320902,-0.15360930346360344
PS10,R,ANE,4,20.399408883985974,27.250292101283996,41.405267294721696,24.790301440733334,-0.14377599597982163
PS10,R,PLA,1,27.187283482119255,31.34832902540787,30.460814401575057,30.12262644291647,-0.07108570945172006
PS10,R,PLA,2,17.662168310852213,28.444257727878927,30.611681146048305,26.297378700029718,-0.23385220550317903
PS10,R,PLA,3,16.553514900052917,28.20575159648519,29.904888831727693,31.092688690073427,-0.26033127011438517
PS10,R,PLA,4,20.00352893903627,27.155074969424167,40.22926963922345,36.16294814884787,-0.15164880716718443
PS9,L,ANE,1,30.808888567735092,30.00971485444654,71.60610518228361,48.001655901999065,0.013140283865792735
PS9,L,ANE,2,37.48018860549834,34.783865344891375,96.96402323548845,71.7794851181251,0.03731209520099707
PS9,L,ANE,3,35.310320079221285,28.048205601058935,80.3270580647651,53.825935386448805,0.11461937284980896
PS9,L,ANE,4,34.543585083947406,30.12771919737752,66.43901407382889,61.11117372809329,0.06828168900630915
PS9,L,PLA,1,32.965918240068106,34.69019916046037,60.257389936795754,58.22462183880769,-0.025485957318306985
PS9,L,PLA,2,33.2673235519668,33.34666455181803,58.77833457489692,53.25635730261976,-0.0011910561446586618
PS9,L,PLA,3,34.05492586409119,27.92203294591234,67.11033348590003,57.24974428691069,0.09895440234458323
PS9,L,PLA,4,38.78643060353232,27.40112520275683,90.43540282770064,50.89597637146564,0.172015800584881
M6,R,ANE,1,40.723012328951754,116.50798387066848,50.345323226857495,257.7486886096415,-0.48199765550998463
M6,R,ANE,2,39.154036089029894,112.73205216494858,61.25296514125723,240.71202012213124,-0.48442893566976125
M6,R,ANE,3,38.7588617436606,121.53980907601681,75.80287365866023,229.3662257424995,-0.5164169291551852
M6,R,ANE,4,40.2166592454628,126.87138951658885,50.98584626594423,254.34322926784455,-0.5186171656988444
M6,R,PLA,1,36.719948966412005,95.34457314556927,47.4672613570996,121.89316121613938,-0.4439089563315675
M6,R,PLA,2,37.973901337453654,113.61106387251475,59.31076636803083,205.05122842383017,-0.49897535966242784
M6,R,PLA,3,30.944482031062012,89.89413197107646,34.15590926599112,158.8124700706986,-0.48783785238525446
M6,R,PLA,4,36.50336431485581,119.56626875081278,58.979092813387744,259.51181908518396,-0.5322169521665147
PS4,L,ANE,1,64.86649536417748,80.92475981179363,118.31463525058544,133.96785496547488,-0.11014559431725586
PS4,L,ANE,2,64.51894839795331,81.90759727573655,108.74995184018276,120.35611441132892,-0.11875339131835805
PS4,L,ANE,3,50.29781665922459,64.1369460844659,63.9113484921641,77.17621118256534,-0.12093466262728136
PS4,L,ANE,4,65.14458507850547,72.75942382528217,133.42349117266232,102.67727109609666,-0.05521840015607766
PS4,L,PLA,1,67.71203771892168,79.74407078772039,99.61546157514866,128.9378044246479,-0.08159738644029559
PS4,L,PLA,2,55.9900152227962,68.01196400979802,90.92185430992676,124.10801564049004,-0.09694965242814224
PS4,L,PLA,3,63.62771921803444,73.98442239215379,109.8741978477169,148.49926856290776,-0.07526009734996017
PS4,L,PLA,4,54.30596058903455,72.330708957059,104.40928651636119,146.32612024749707,-0.14233435254283608
S8,L,ANE,1,42.93833599280765,448.48723015687136,65.16713065903578,387.73503466260445,-0.8252498895031852
S8,L,ANE,2,42.37482455897702,544.2967412843412,59.63641768229149,511.4159495558093,-0.855541577175075
S8,L,ANE,3,40.98568237917896,466.0161973991469,51.38998668805693,396.32977863465715,-0.8383213790169797
S8,L,ANE,4,45.92525544505148,538.1071162189576,66.62901626745338,496.244365454319,-0.8427304455258091
S8,L,PLA,1,44.36150477915772,487.0221482878476,75.49377376068632,437.2859370042271,-0.8330339876918859
S8,L,PLA,2,42.79422705474754,450.6333195099783,67.8203047817258,365.02266601718424,-0.8265430158786874
S8,L,PLA,3,48.89053015582073,427.1499042825446,64.94827261754051,366.9267415784647,-0.7945950527773868
S8,L,PLA,4,41.83800743657849,414.5370919424038,63.29149608989037,340.50466919646436,-0.8166507879439063
